         5843070 function calls (5703559 primitive calls) in 37.199 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      509    0.022    0.000    0.022    0.000 :0(tostring)
      160    0.000    0.000    0.000    0.000 :0(translate)
        4    0.000    0.000    0.000    0.000 :0(txt2obj)
        2    0.000    0.000    0.000    0.000 :0(uname)
      823    0.003    0.000    0.003    0.000 :0(unicode_iscased)
      646    0.002    0.000    0.002    0.000 :0(unicode_tolower)
        3    0.000    0.000    0.000    0.000 :0(union)
        1    0.000    0.000    0.000    0.000 :0(unlink)
     1166    0.002    0.000    0.002    0.000 :0(unpack)
        2    0.000    0.000    0.000    0.000 :0(unsetenv)
     6668    0.020    0.000    0.021    0.000 :0(update)
      282    0.001    0.000    0.001    0.000 :0(upper)
        1    0.000    0.000    0.000    0.000 :0(urandom)
        1    0.000    0.000    0.000    0.000 :0(utcfromtimestamp)
       32    0.000    0.000    0.000    0.000 :0(utf_8_decode)
    12049    0.050    0.000    0.050    0.000 :0(values)
       47    0.000    0.000    0.000    0.000 :0(vars)
      5/3    0.000    0.000    0.000    0.000 :0(view)
        2    0.000    0.000    0.000    0.000 :0(waitpid)
       49    0.000    0.000    0.000    0.000 :0(warn)
       57    0.001    0.000    0.023    0.000 :0(with_phil)
        5    0.000    0.000    0.000    0.000 :0(write)
       25    0.001    0.000    0.001    0.000 :0(zeros)
       50    0.000    0.000    0.000    0.000 :0(zfill)
        1    0.000    0.000    0.000    0.000 <decorator-gen-0>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-10>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-1>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-2>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-3>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-4>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-5>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-6>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-7>:1(<module>)
        3    0.000    0.000    0.002    0.001 <decorator-gen-7>:1(_held_figure)
        1    0.000    0.000    0.000    0.000 <decorator-gen-8>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-9>:1(<module>)
24638/2313    0.161    0.000    4.941    0.002 <frozen importlib._bootstrap>:1009(_handle_fromlist)
     5038    0.025    0.000    0.033    0.000 <frozen importlib._bootstrap>:103(release)
     2605    0.005    0.000    0.005    0.000 <frozen importlib._bootstrap>:143(__init__)
     2605    0.014    0.000    0.090    0.000 <frozen importlib._bootstrap>:147(__enter__)
     2605    0.010    0.000    0.029    0.000 <frozen importlib._bootstrap>:151(__exit__)
     5038    0.043    0.000    0.081    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
     2590    0.016    0.000    0.027    0.000 <frozen importlib._bootstrap>:176(cb)
     2433    0.017    0.000    0.070    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
   3570/2    0.011    0.000    7.426    3.713 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
    16974    0.029    0.000    0.029    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
     2157    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:307(__init__)
     2157    0.005    0.000    0.005    0.000 <frozen importlib._bootstrap>:311(__enter__)
     2157    0.015    0.000    0.048    0.000 <frozen importlib._bootstrap>:318(__exit__)
     8628    0.012    0.000    0.012    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
     2019    0.006    0.000    0.006    0.000 <frozen importlib._bootstrap>:35(_new_module)
     2636    0.008    0.000    0.008    0.000 <frozen importlib._bootstrap>:369(__init__)
